%time,field.header.stamp,field.header.frame_id,field.latitude,,,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1.61E+18,0,,42.2039486N,42.203948,71.05144,71.0514402W,10.6 m,330644.5954,4674457.967,19,T
1.61E+18,0,,42.2039503N,42.20395,71.051442,71.051442W,10.7 m,330644.4513,4674458.16,19,T
1.61E+18,0,,42.2039512N,42.203951,71.051443,71.0514434W,10.7 m,330644.3382,4674458.262,19,T
1.61E+18,0,,42.2039506N,42.20395,71.051443,71.0514433W,10.7 m,330644.3448,4674458.195,19,T
1.61E+18,0,,42.2039489N,42.203948,71.051441,71.0514413W,10.7 m,330644.5054,4674458.003,19,T
1.61E+18,0,,42.2039455N,42.203945,71.051438,71.0514386W,10.5 m,330644.7192,4674457.62,19,T
1.61E+18,0,,42.2039419N,42.203941,71.051436,71.0514361W,10.6 m,330644.916,4674457.215,19,T
1.61E+18,0,,42.2039387N,42.203938,71.051434,71.0514347W,10.6 m,330645.023,4674456.857,19,T
1.61E+18,0,,42.2039376N,42.203937,71.051433,71.0514333W,10.1 m,330645.1357,4674456.732,19,T
1.61E+18,0,,42.2039345N,42.203934,71.051432,71.0514326W,10.4 m,330645.1852,4674456.386,19,T
1.61E+18,0,,42.2039302N,42.20393,71.051429,71.0514297W,10.3 m,330645.4131,4674455.903,19,T
1.61E+18,0,,42.203924N,42.203924,71.051428,71.0514286W,10.5 m,330645.4873,4674455.213,19,T
1.61E+18,0,,42.2039176N,42.203917,71.05143W,71.05143W,10.7 m,330645.3547,4674454.505,19,T
1.61E+18,0,,42.2039144N,42.203914,71.051432,71.0514323W,10.9 m,330645.1562,4674454.154,19,T
1.61E+18,0,,42.2039137N,42.203913,71.051433,71.051433W,11.0 m,330645.0966,4674454.078,19,T
1.61E+18,0,,42.203914N,42.203914,71.051432,71.0514329W,11.2 m,330645.1056,4674454.111,19,T
1.61E+18,0,,42.2039154N,42.203915,71.05143,71.0514305W,11.1 m,330645.3075,4674454.261,19,T
1.61E+18,0,,42.2039183N,42.203918,71.051423,71.0514234W,11.1 m,330645.9014,4674454.569,19,T
1.61E+18,0,,42.2039243N,42.203924,71.051409,71.0514094W,11.2 m,330647.0733,4674455.208,19,T
1.61E+18,0,,42.2039329N,42.203932,71.05139,71.0513904W,11.1 m,330648.6648,4674456.125,19,T
1.61E+18,0,,42.2039429N,42.203942,71.051371,71.051371W,11.2 m,330650.2932,4674457.197,19,T
1.61E+18,0,,42.2039558N,42.203955,71.051353,71.0513535W,11.1 m,330651.7724,4674458.594,19,T
1.61E+18,0,,42.2039697N,42.203969,71.051336,71.0513369W,11.1 m,330653.18,4674460.105,19,T
1.61E+18,0,,42.2039846N,42.203984,71.051322,71.0513223W,11.2 m,330654.4252,4674461.73,19,T
1.61E+18,0,,42.2039993N,42.203999,71.051308,71.0513082W,11.2 m,330655.6285,4674463.335,19,T
1.61E+18,0,,42.2040152N,42.204015,71.051292,71.0512926W,11.2 m,330656.9589,4674465.069,19,T
1.61E+18,0,,42.2040315N,42.204031,71.051274,71.0512748W,11.4 m,330658.472,4674466.844,19,T
1.61E+18,0,,42.2040472N,42.204047,71.051257,71.0512571W,11.3 m,330659.9752,4674468.552,19,T
1.61E+18,0,,42.2040643N,42.204064,71.051237,71.0512371W,11.7 m,330661.672,4674470.411,19,T
1.61E+18,0,,42.2040811N,42.204081,71.051218,71.0512181W,11.5 m,330663.2855,4674472.239,19,T
1.61E+18,0,,42.204098N,42.204098,71.051197,71.0511972W,11.2 m,330665.0561,4674474.074,19,T
1.61E+18,0,,42.2041147N,42.204114,71.051174,71.0511748W,10.9 m,330666.95,4674475.884,19,T
1.61E+18,0,,42.2041296N,42.204129,71.051152,71.0511528W,10.7 m,330668.8061,4674477.495,19,T
1.61E+18,0,,42.2041427N,42.204142,71.051131,71.0511315W,10.6 m,330670.5996,4674478.907,19,T
1.61E+18,0,,42.2041534N,42.204153,71.05111,71.0511107W,10.5 m,330672.3453,4674480.054,19,T
1.61E+18,0,,42.2041627N,42.204162,71.051089,71.0510897W,10.4 m,330674.1039,4674481.045,19,T
1.61E+18,0,,42.2041721N,42.204172,71.051069,71.051069W,10.4 m,330675.838,4674482.047,19,T
1.61E+18,0,,42.2041822N,42.204182,71.051048,71.0510489W,10.4 m,330677.5243,4674483.129,19,T
1.61E+18,0,,42.2041928N,42.204192,71.051029,71.0510296W,10.3 m,330679.146,4674484.268,19,T
1.61E+18,0,,42.2042032N,42.204203,71.051012,71.051012W,10.2 m,330680.6268,4674485.387,19,T
1.61E+18,0,,42.2042156N,42.204215,71.050996,71.0509969W,10.3 m,330681.9066,4674486.734,19,T
1.61E+18,0,,42.2042278N,42.204227,71.050984,71.050984W,10.7 m,330683.0041,4674488.063,19,T
1.61E+18,0,,42.2042423N,42.204242,71.050978,71.0509787W,10.7 m,330683.4804,4674489.663,19,T
1.61E+18,0,,42.2042551N,42.204255,71.050979,71.0509796W,10.7 m,330683.4403,4674491.086,19,T
