%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1614786146667383520,136,0,,42.2029679N,71.0525106W,9.1 m,330553.60372843966,4674351.197409672,19,T
1614786147665600804,137,0,,42.2029778N,71.0524988W,9.2 m,330554.60439189174,4674352.273250732,19,T
1614786148662669178,138,0,,42.2029866N,71.0524873W,9.4 m,330555.5773467393,4674353.2275443515,19,T
1614786149664440779,139,0,,42.2029953N,71.0524761W,9.3 m,330556.5252662607,4674354.171330381,19,T
1614786150664577794,140,0,,42.2030068N,71.0524626W,9.3 m,330557.67055650277,4674355.421456781,19,T
1614786151667756704,141,0,,42.2030214N,71.0524441W,9.3 m,330559.23692875425,4674357.005869254,19,T
1614786152665846460,142,0,,42.2030389N,71.0524222W,9.4 m,330561.0917533535,4674358.905540115,19,T
1614786153669503806,143,0,,42.203058N,71.0523974W,9.5 m,330563.1902752352,4674360.977111502,19,T
1614786154670819029,144,0,,42.2030773N,71.0523723W,9.5 m,330565.314098225,4674363.07029522,19,T
1614786155674984667,145,0,,42.2030955N,71.0523473W,9.4 m,330567.42672370176,4674365.041534441,19,T
1614786156671441416,146,0,,42.2031141N,71.0523232W,9.3 m,330569.46611413127,4674367.058978886,19,T
1614786157671824425,147,0,,42.2031323N,71.0522995W,9.1 m,330571.4714106241,4674369.032802908,19,T
1614786158674250439,148,0,,42.2031503N,71.0522766W,9.0 m,330573.410124265,4674370.986009398,19,T
1614786159668347206,149,0,,42.203167N,71.0522578W,9.0 m,330575.00687047036,4674372.803012714,19,T
1614786160676472119,150,0,,42.2031808N,71.0522451W,9.0 m,330576.0922551248,4674374.310123534,19,T
1614786161674216376,151,0,,42.2031914N,71.0522355W,9.3 m,330576.9131534668,4674375.468067668,19,T
1614786162678841211,152,0,,42.2032008N,71.0522285W,9.5 m,330577.51619099604,4674376.4979311,19,T
1614786163674917860,153,0,,42.2032096N,71.0522213W,9.5 m,330578.1341363907,4674377.460773195,19,T
1614786164672849561,154,0,,42.2032198N,71.0522136W,9.6 m,330578.7971030971,4674378.578077495,19,T
1614786165677484492,155,0,,42.2032308N,71.0522042W,9.6 m,330579.60255792364,4674379.780835333,19,T
1614786166680749755,156,0,,42.2032415N,71.0521941W,9.6 m,330580.4650017947,4674380.948890192,19,T
1614786167678870225,157,0,,42.2032496N,71.0521844W,9.6 m,330581.2874724455,4674381.829036408,19,T
1614786168680711631,158,0,,42.2032554N,71.0521771W,9.6 m,330581.9056542383,4674382.458560487,19,T
1614786169677670670,159,0,,42.2032606N,71.0521696W,9.7 m,330582.53874397837,4674383.021063244,19,T
1614786170674906446,160,0,,42.2032697N,71.0521586W,9.6 m,330583.47121337615,4674384.009666121,19,T
1614786171677260401,161,0,,42.2032848N,71.0521424W,9.6 m,330584.84902492084,4674385.654174637,19,T
1614786172681721678,162,0,,42.203302N,71.05212W,9.5 m,330586.74431285734,4674387.519546335,19,T
1614786173676752097,163,0,,42.2033223N,71.0520954W,9.5 m,330588.82951447857,4674389.7247702675,19,T
1614786174678622417,164,0,,42.2033419N,71.0520702W,9.4 m,330590.9623791281,4674391.8510745745,19,T
1614786175678622759,165,0,,42.2033614N,71.0520443W,9.4 m,330593.15276630153,4674393.964884509,19,T
1614786176684865388,166,0,,42.2033802N,71.0520175W,9.7 m,330595.41558409284,4674395.999178772,19,T
1614786177683223410,167,0,,42.2033981N,71.0519912W,9.8 m,330597.6347159329,4674397.9345314,19,T
1614786178685272343,168,0,,42.203417N,71.0519661W,10.0 m,330599.75744882924,4674399.983309052,19,T
1614786179685219408,169,0,,42.2034369N,71.0519422W,9.9 m,330601.78378277796,4674402.14551164,19,T
1614786180684119484,170,0,,42.2034568N,71.0519188W,9.8 m,330603.76883623743,4674404.308708298,19,T
1614786181682141621,171,0,,42.2034775N,71.0518941W,9.7 m,330605.86335255275,4674406.558154274,19,T
1614786182684758378,172,0,,42.2034986N,71.0518679W,9.7 m,330608.08277425903,4674408.849036322,19,T
1614786183688874033,173,0,,42.2035197N,71.0518422W,9.5 m,330610.26091531373,4674411.140912509,19,T
1614786184689025348,174,0,,42.2035394N,71.0518179W,9.5 m,330612.31973183015,4674413.280115224,19,T
1614786185693468203,175,0,,42.2035583N,71.0517958W,9.4 m,330614.19478074333,4674415.334857814,19,T
1614786186694697745,176,0,,42.2035739N,71.0517755W,9.4 m,330615.9124047847,4674417.0267457105,19,T
1614786187687067263,177,0,,42.2035891N,71.051759W,9.4 m,330617.3152373112,4674418.681768171,19,T
1614786188684624593,178,0,,42.2036033N,71.0517439W,9.7 m,330618.59981521685,4674420.228532628,19,T
1614786189689225786,179,0,,42.2036151N,71.0517289W,9.8 m,330619.86972326564,4674421.509000305,19,T
1614786190689471863,180,0,,42.2036264N,71.0517154W,9.8 m,330621.0144572618,4674422.736928514,19,T
1614786191692216161,181,0,,42.2036363N,71.0517021W,9.9 m,330622.13893805945,4674423.809798443,19,T
1614786192691937114,182,0,,42.2036464N,71.0516901W,9.9 m,330623.15662719123,4674424.907459366,19,T
1614786193686189833,183,0,,42.2036567N,71.0516783W,10.0 m,330624.15833880054,4674426.027725765,19,T
1614786194690287510,184,0,,42.2036676N,71.0516647W,10.0 m,330625.31025828375,4674427.211040008,19,T
1614786195689841379,185,0,,42.2036806N,71.0516498W,10.1 m,330626.5751146866,4674428.624955358,19,T
1614786196689297245,186,0,,42.2036953N,71.0516343W,10.1 m,330627.8940481973,4674430.226446649,19,T
1614786197693074362,187,0,,42.2037107N,71.051616W,10.3 m,330629.44601458946,4674431.900103218,19,T
1614786198694037909,188,0,,42.2037271N,71.0515958W,10.3 m,330631.1575129171,4674433.681025221,19,T
1614786199687474160,189,0,,42.2037444N,71.0515755W,10.2 m,330632.87967108685,4674435.561684832,19,T
1614786200692090570,190,0,,42.2037616N,71.0515541W,10.2 m,330634.69237509766,4674437.42905551,19,T
1614786201692372464,191,0,,42.2037791N,71.0515326W,10.2 m,330636.5141355828,4674439.329539929,19,T
1614786202689445281,192,0,,42.2037943N,71.0515094W,10.2 m,330638.4700982469,4674440.971255814,19,T
1614786203691213694,193,0,,42.2038095N,71.0514877W,10.4 m,330640.3022228895,4674442.615952138,19,T
1614786204693302688,194,0,,42.2038259N,71.0514668W,10.6 m,330642.07150657976,4674444.395486035,19,T
1614786205691508133,195,0,,42.2038424N,71.051449W,10.5 m,330643.5851266844,4674446.192282723,19,T
1614786206693211432,196,0,,42.2038572N,71.0514336W,10.4 m,330644.8960645766,4674447.805079677,19,T
1614786207692951708,197,0,,42.2038709N,71.0514223W,10.4 m,330645.86557503603,4674449.303877846,19,T
1614786208693409837,198,0,,42.2038849N,71.0514157W,10.4 m,330646.4478641851,4674450.845324845,19,T
1614786209696218280,199,0,,42.2038994N,71.0514135W,10.4 m,330646.6682340351,4674452.451032593,19,T
1614786210689076918,200,0,,42.2039165N,71.0514194W,10.5 m,330646.2268314476,4674454.3615350155,19,T
1614786211693290081,201,0,,42.2039301N,71.0514273W,10.4 m,330645.61096165376,4674455.887371032,19,T
1614786212687745893,202,0,,42.2039422N,71.0514359W,10.6 m,330644.9332937494,4674457.248037896,19,T
1614786213687040177,203,0,,42.2039486N,71.0514402W,10.6 m,330644.59539507295,4674457.967235313,19,T
1614786214688144475,204,0,,42.2039503N,71.051442W,10.7 m,330644.4513331392,4674458.1595789185,19,T
1614786215689190815,205,0,,42.2039512N,71.0514434W,10.7 m,330644.3381568274,4674458.262296001,19,T
1614786216691963005,206,0,,42.2039506N,71.0514433W,10.7 m,330644.3448094608,4674458.195473422,19,T
1614786217684379437,207,0,,42.2039489N,71.0514413W,10.7 m,330644.505382971,4674458.0027324995,19,T
1614786218691043582,208,0,,42.2039455N,71.0514386W,10.5 m,330644.71920475224,4674457.6198332,19,T
1614786219695082419,209,0,,42.2039419N,71.0514361W,10.6 m,330644.91598059516,4674457.215123246,19,T
1614786220694961698,210,0,,42.2039387N,71.0514347W,10.6 m,330645.0230115321,4674456.857014466,19,T
1614786221693830571,211,0,,42.2039376N,71.0514333W,10.1 m,330645.13565349515,4674456.732089421,19,T
1614786222700787362,212,0,,42.2039345N,71.0514326W,10.4 m,330645.18516110757,4674456.386475223,19,T
1614786223690479347,213,0,,42.2039302N,71.0514297W,10.3 m,330645.4130898472,4674455.903242753,19,T
1614786224692484107,214,0,,42.203924N,71.0514286W,10.5 m,330645.48733774445,4674455.212610331,19,T
1614786225693388449,215,0,,42.2039176N,71.05143W,10.7 m,330645.3546564515,4674454.504736327,19,T
